,fold,n_neighbors,algorithm,value,dataset
274,4,40,umap,0.9497206703910615,PenDigits
275,5,40,umap,0.9217877094972067,PenDigits
276,6,40,umap,0.9888268156424581,PenDigits
277,7,40,umap,0.9943820224719101,PenDigits
278,8,40,umap,0.943502824858757,PenDigits
279,9,40,umap,0.9659090909090909,PenDigits
280,0,80,umap,0.9351351351351351,PenDigits
281,1,80,umap,0.9617486338797814,PenDigits
282,2,80,umap,0.9502762430939227,PenDigits
283,3,80,umap,0.9,PenDigits
284,4,80,umap,0.9385474860335196,PenDigits
285,5,80,umap,0.9273743016759777,PenDigits
286,6,80,umap,0.9888268156424581,PenDigits
287,7,80,umap,0.9943820224719101,PenDigits
288,8,80,umap,0.943502824858757,PenDigits
289,9,80,umap,0.9659090909090909,PenDigits
290,0,160,umap,0.9351351351351351,PenDigits
291,1,160,umap,0.9617486338797814,PenDigits
292,2,160,umap,0.9502762430939227,PenDigits
293,3,160,umap,0.9,PenDigits
294,4,160,umap,0.9385474860335196,PenDigits
295,5,160,umap,0.9273743016759777,PenDigits
296,6,160,umap,0.9888268156424581,PenDigits
297,7,160,umap,0.9943820224719101,PenDigits
298,8,160,umap,0.943502824858757,PenDigits
299,9,160,umap,0.9659090909090909,PenDigits
