,fold,n_neighbors,algorithm,value,dataset
224,4,40,tsne,0.9214285714285714,COIL-20
225,5,40,tsne,0.9,COIL-20
226,6,40,tsne,0.75,COIL-20
227,7,40,tsne,0.8214285714285714,COIL-20
228,8,40,tsne,0.8071428571428572,COIL-20
229,9,40,tsne,0.8714285714285714,COIL-20
230,0,80,tsne,0.75625,COIL-20
231,1,80,tsne,0.7375,COIL-20
232,2,80,tsne,0.8142857142857143,COIL-20
233,3,80,tsne,0.8714285714285714,COIL-20
234,4,80,tsne,0.8428571428571429,COIL-20
235,5,80,tsne,0.8642857142857143,COIL-20
236,6,80,tsne,0.7,COIL-20
237,7,80,tsne,0.7428571428571429,COIL-20
238,8,80,tsne,0.7571428571428571,COIL-20
239,9,80,tsne,0.8071428571428572,COIL-20
240,0,160,tsne,0.64375,COIL-20
241,1,160,tsne,0.63125,COIL-20
242,2,160,tsne,0.5857142857142857,COIL-20
243,3,160,tsne,0.6,COIL-20
244,4,160,tsne,0.5642857142857143,COIL-20
245,5,160,tsne,0.6071428571428571,COIL-20
246,6,160,tsne,0.5928571428571429,COIL-20
247,7,160,tsne,0.5714285714285714,COIL-20
248,8,160,tsne,0.6214285714285714,COIL-20
249,9,160,tsne,0.6714285714285714,COIL-20
250,0,10,umap,0.91875,COIL-20
251,1,10,umap,0.88125,COIL-20
252,2,10,umap,0.9071428571428571,COIL-20
253,3,10,umap,0.9785714285714285,COIL-20
254,4,10,umap,0.9571428571428572,COIL-20
255,5,10,umap,0.9214285714285714,COIL-20
256,6,10,umap,0.85,COIL-20
257,7,10,umap,0.9214285714285714,COIL-20
258,8,10,umap,0.9142857142857143,COIL-20
259,9,10,umap,0.9571428571428572,COIL-20
260,0,20,umap,0.93125,COIL-20
261,1,20,umap,0.8625,COIL-20
262,2,20,umap,0.9142857142857143,COIL-20
263,3,20,umap,0.9428571428571428,COIL-20
264,4,20,umap,0.8928571428571429,COIL-20
265,5,20,umap,0.8857142857142857,COIL-20
266,6,20,umap,0.8571428571428571,COIL-20
267,7,20,umap,0.9142857142857143,COIL-20
268,8,20,umap,0.9214285714285714,COIL-20
