,fold,n_neighbors,algorithm,value,dataset
383,3,200,pca,0.5642857142857143,F-MNIST
384,4,200,pca,0.57,F-MNIST
385,5,200,pca,0.5491428571428572,F-MNIST
386,6,200,pca,0.5505714285714286,F-MNIST
387,7,200,pca,0.5611428571428572,F-MNIST
388,8,200,pca,0.5685714285714286,F-MNIST
389,9,200,pca,0.5725714285714286,F-MNIST
390,10,200,pca,0.5728571428571428,F-MNIST
391,11,200,pca,0.5662857142857143,F-MNIST
392,12,200,pca,0.5731428571428572,F-MNIST
393,13,200,pca,0.5694285714285714,F-MNIST
394,14,200,pca,0.5577142857142857,F-MNIST
395,15,200,pca,0.5525714285714286,F-MNIST
396,16,200,pca,0.578,F-MNIST
397,17,200,pca,0.5617142857142857,F-MNIST
398,18,200,pca,0.5645714285714286,F-MNIST
399,19,200,pca,0.5605714285714286,F-MNIST
400,0,400,pca,0.56,F-MNIST
401,1,400,pca,0.5788571428571428,F-MNIST
402,2,400,pca,0.5617142857142857,F-MNIST
403,3,400,pca,0.5651428571428572,F-MNIST
404,4,400,pca,0.566,F-MNIST
405,5,400,pca,0.5488571428571428,F-MNIST
406,6,400,pca,0.5497142857142857,F-MNIST
407,7,400,pca,0.5568571428571428,F-MNIST
408,8,400,pca,0.5665714285714286,F-MNIST
409,9,400,pca,0.5725714285714286,F-MNIST
410,10,400,pca,0.5728571428571428,F-MNIST
411,11,400,pca,0.562,F-MNIST
412,12,400,pca,0.5685714285714286,F-MNIST
413,13,400,pca,0.5691428571428572,F-MNIST
414,14,400,pca,0.5582857142857143,F-MNIST
415,15,400,pca,0.5565714285714286,F-MNIST
416,16,400,pca,0.5805714285714285,F-MNIST
417,17,400,pca,0.5648571428571428,F-MNIST
418,18,400,pca,0.5608571428571428,F-MNIST
419,19,400,pca,0.5605714285714286,F-MNIST
420,0,800,pca,0.5582857142857143,F-MNIST
421,1,800,pca,0.5774285714285714,F-MNIST
422,2,800,pca,0.5594285714285714,F-MNIST
423,3,800,pca,0.5525714285714286,F-MNIST
424,4,800,pca,0.5585714285714286,F-MNIST
425,5,800,pca,0.5522857142857143,F-MNIST
426,6,800,pca,0.5425714285714286,F-MNIST
427,7,800,pca,0.5554285714285714,F-MNIST
428,8,800,pca,0.5611428571428572,F-MNIST
429,9,800,pca,0.5688571428571428,F-MNIST
430,10,800,pca,0.5697142857142857,F-MNIST
431,11,800,pca,0.5574285714285714,F-MNIST
432,12,800,pca,0.5685714285714286,F-MNIST
433,13,800,pca,0.564,F-MNIST
434,14,800,pca,0.554,F-MNIST
435,15,800,pca,0.5548571428571428,F-MNIST
436,16,800,pca,0.5765714285714286,F-MNIST
437,17,800,pca,0.5582857142857143,F-MNIST
438,18,800,pca,0.558,F-MNIST
439,19,800,pca,0.5534285714285714,F-MNIST
440,0,1600,pca,0.5471428571428572,F-MNIST
441,1,1600,pca,0.5668571428571428,F-MNIST
442,2,1600,pca,0.5454285714285714,F-MNIST
443,3,1600,pca,0.5448571428571428,F-MNIST
444,4,1600,pca,0.5485714285714286,F-MNIST
445,5,1600,pca,0.5388571428571428,F-MNIST
446,6,1600,pca,0.5331428571428571,F-MNIST
447,7,1600,pca,0.5417142857142857,F-MNIST
448,8,1600,pca,0.5505714285714286,F-MNIST
449,9,1600,pca,0.5608571428571428,F-MNIST
450,10,1600,pca,0.5568571428571428,F-MNIST
