,fold,n_neighbors,algorithm,value,dataset
348,8,3200,lvis,0.9143101970865467,MNIST
349,9,3200,lvis,0.9183090545558412,MNIST
350,10,3200,lvis,0.9177142857142857,MNIST
351,11,3200,lvis,0.924,MNIST
352,12,3200,lvis,0.916,MNIST
353,13,3200,lvis,0.9148084619782733,MNIST
354,14,3200,lvis,0.9219554030874786,MNIST
355,15,3200,lvis,0.9230989136649514,MNIST
356,16,3200,lvis,0.935945095796397,MNIST
357,17,3200,lvis,0.9007437070938215,MNIST
358,18,3200,lvis,0.911587982832618,MNIST
359,19,3200,lvis,0.9379113018597998,MNIST
360,0,100,pca,0.46276747503566334,MNIST
361,1,100,pca,0.4660388127853881,MNIST
362,2,100,pca,0.4666095890410959,MNIST
363,3,100,pca,0.44190693691121896,MNIST
364,4,100,pca,0.4628783552255854,MNIST
365,5,100,pca,0.4518708940302771,MNIST
366,6,100,pca,0.46643816052556414,MNIST
367,7,100,pca,0.4481576692373608,MNIST
368,8,100,pca,0.4518708940302771,MNIST
369,9,100,pca,0.4524421593830334,MNIST
370,10,100,pca,0.44542857142857145,MNIST
371,11,100,pca,0.47114285714285714,MNIST
372,12,100,pca,0.4582857142857143,MNIST
373,13,100,pca,0.4611206403659234,MNIST
374,14,100,pca,0.47427101200686106,MNIST
375,15,100,pca,0.46283590623213267,MNIST
376,16,100,pca,0.4815556191020875,MNIST
377,17,100,pca,0.4633867276887872,MNIST
378,18,100,pca,0.4798283261802575,MNIST
379,19,100,pca,0.4804005722460658,MNIST
380,0,200,pca,0.4607703281027104,MNIST
381,1,200,pca,0.4677511415525114,MNIST
382,2,200,pca,0.4791666666666667,MNIST
383,3,200,pca,0.44990008564087924,MNIST
384,4,200,pca,0.4734437464306111,MNIST
385,5,200,pca,0.44958583261925167,MNIST
386,6,200,pca,0.4695801199657241,MNIST
387,7,200,pca,0.46472436446729504,MNIST
388,8,200,pca,0.4555841188231934,MNIST
389,9,200,pca,0.45758354755784064,MNIST
390,10,200,pca,0.4542857142857143,MNIST
391,11,200,pca,0.4702857142857143,MNIST
392,12,200,pca,0.45257142857142857,MNIST
393,13,200,pca,0.4671240708976558,MNIST
394,14,200,pca,0.47398513436249284,MNIST
395,15,200,pca,0.4719839908519154,MNIST
396,16,200,pca,0.48813268515870745,MNIST
397,17,200,pca,0.4642448512585812,MNIST
398,18,200,pca,0.48726752503576537,MNIST
399,19,200,pca,0.4844062947067239,MNIST
400,0,400,pca,0.46904422253922967,MNIST
401,1,400,pca,0.4651826484018265,MNIST
402,2,400,pca,0.4803082191780822,MNIST
403,3,400,pca,0.44390522409363403,MNIST
404,4,400,pca,0.4694460308395203,MNIST
405,5,400,pca,0.4535846900885461,MNIST
406,6,400,pca,0.47643530419880037,MNIST
407,7,400,pca,0.4670094258783205,MNIST
408,8,400,pca,0.46043987432162237,MNIST
409,9,400,pca,0.45815481291059695,MNIST
410,10,400,pca,0.45285714285714285,MNIST
411,11,400,pca,0.4682857142857143,MNIST
412,12,400,pca,0.4574285714285714,MNIST
413,13,400,pca,0.46855345911949686,MNIST
414,14,400,pca,0.4748427672955975,MNIST
415,15,400,pca,0.4694110920526015,MNIST
416,16,400,pca,0.4875607663711753,MNIST
417,17,400,pca,0.46824942791762014,MNIST
418,18,400,pca,0.4889842632331903,MNIST
419,19,400,pca,0.48783977110157367,MNIST
420,0,800,pca,0.47218259629101283,MNIST
421,1,800,pca,0.4671803652968037,MNIST
422,2,800,pca,0.4785958904109589,MNIST
423,3,800,pca,0.4473308592634884,MNIST
424,4,800,pca,0.4671616219303255,MNIST
425,5,800,pca,0.45301342473578976,MNIST
426,6,800,pca,0.4744358754641531,MNIST
427,7,800,pca,0.4692944872893459,MNIST
428,8,800,pca,0.463010568409026,MNIST
429,9,800,pca,0.4555841188231934,MNIST
430,10,800,pca,0.45457142857142857,MNIST
431,11,800,pca,0.47,MNIST
432,12,800,pca,0.45485714285714285,MNIST
433,13,800,pca,0.4694110920526015,MNIST
434,14,800,pca,0.4751286449399657,MNIST
435,15,800,pca,0.4662664379645512,MNIST
436,16,800,pca,0.48412925364598225,MNIST
437,17,800,pca,0.4662471395881007,MNIST
438,18,800,pca,0.4881258941344778,MNIST
439,19,800,pca,0.48669527896995707,MNIST
440,0,1600,pca,0.47332382310984306,MNIST
441,1,1600,pca,0.466324200913242,MNIST
442,2,1600,pca,0.4746004566210046,MNIST
443,3,1600,pca,0.44533257208107335,MNIST
444,4,1600,pca,0.46659051970302684,MNIST
445,5,1600,pca,0.4490145672664953,MNIST
446,6,1600,pca,0.46986575264210223,MNIST
447,7,1600,pca,0.46872322193658955,MNIST
448,8,1600,pca,0.4624393030562696,MNIST
449,9,1600,pca,0.4570122822050843,MNIST
450,10,1600,pca,0.45085714285714285,MNIST
451,11,1600,pca,0.472,MNIST
452,12,1600,pca,0.4542857142857143,MNIST
453,13,1600,pca,0.467409948542024,MNIST
454,14,1600,pca,0.4765580331618067,MNIST
455,15,1600,pca,0.4671240708976558,MNIST
456,16,1600,pca,0.48784672576494137,MNIST
457,17,1600,pca,0.4579519450800915,MNIST
458,18,1600,pca,0.4838340486409156,MNIST
459,19,1600,pca,0.47954220314735335,MNIST
460,0,3200,pca,0.46162624821683307,MNIST
461,1,3200,pca,0.4603310502283105,MNIST
462,2,3200,pca,0.4574771689497717,MNIST
463,3,3200,pca,0.43933771053382814,MNIST
464,4,3200,pca,0.45459737292975444,MNIST
465,5,3200,pca,0.44473007712082263,MNIST
466,6,3200,pca,0.4667237932019423,MNIST
467,7,3200,pca,0.4552984861468152,MNIST
468,8,3200,pca,0.45958297629248784,MNIST
469,9,3200,pca,0.4538703227649243,MNIST
470,10,3200,pca,0.44857142857142857,MNIST
471,11,3200,pca,0.4614285714285714,MNIST
472,12,3200,pca,0.4471428571428571,MNIST
473,13,3200,pca,0.45969125214408235,MNIST
474,14,3200,pca,0.47084048027444253,MNIST
475,15,3200,pca,0.45769010863350484,MNIST
476,16,3200,pca,0.48069774092078926,MNIST
477,17,3200,pca,0.45080091533180777,MNIST
478,18,3200,pca,0.4804005722460658,MNIST
479,19,3200,pca,0.474964234620887,MNIST
480,0,100,tsne,0.9677603423680456,MNIST
481,1,100,tsne,0.9714611872146118,MNIST
482,2,100,tsne,0.9620433789954338,MNIST
483,3,100,tsne,0.9663145874964316,MNIST
484,4,100,tsne,0.9703026841804683,MNIST
485,5,100,tsne,0.9697229363039132,MNIST
486,6,100,tsne,0.9725792630676949,MNIST
487,7,100,tsne,0.9648671808054842,MNIST
488,8,100,tsne,0.9620108540417024,MNIST
489,9,100,tsne,0.969437303627535,MNIST
490,10,100,tsne,0.9657142857142857,MNIST
491,11,100,tsne,0.9705714285714285,MNIST
492,12,100,tsne,0.9645714285714285,MNIST
493,13,100,tsne,0.9542595769010863,MNIST
494,14,100,tsne,0.9631217838765008,MNIST
495,15,100,tsne,0.967409948542024,MNIST
496,16,100,tsne,0.976551329711181,MNIST
497,17,100,tsne,0.9530892448512586,MNIST
498,18,100,tsne,0.9593705293276109,MNIST
499,19,100,tsne,0.9851216022889843,MNIST
500,0,200,tsne,0.967475035663338,MNIST
501,1,200,tsne,0.9700342465753424,MNIST
502,2,200,tsne,0.9609018264840182,MNIST
503,3,200,tsne,0.965458178703968,MNIST
504,4,200,tsne,0.9697315819531697,MNIST
505,5,200,tsne,0.9697229363039132,MNIST
506,6,200,tsne,0.9691516709511568,MNIST
507,7,200,tsne,0.961439588688946,MNIST
508,8,200,tsne,0.9608683233361897,MNIST
509,9,200,tsne,0.967723507569266,MNIST
510,10,200,tsne,0.966,MNIST
511,11,200,tsne,0.966,MNIST
512,12,200,tsne,0.9637142857142857,MNIST
513,13,200,tsne,0.9534019439679817,MNIST
514,14,200,tsne,0.961978273299028,MNIST
515,15,200,tsne,0.965980560320183,MNIST
516,16,200,tsne,0.976551329711181,MNIST
517,17,200,tsne,0.9505148741418764,MNIST
518,18,200,tsne,0.9590844062947067,MNIST
519,19,200,tsne,0.9856938483547926,MNIST
520,0,400,tsne,0.9654778887303852,MNIST
521,1,400,tsne,0.9677511415525114,MNIST
522,2,400,tsne,0.9594748858447488,MNIST
523,3,400,tsne,0.963459891521553,MNIST
524,4,400,tsne,0.9677327241576242,MNIST
525,5,400,tsne,0.9674378748928878,MNIST
526,6,400,tsne,0.9682947729220223,MNIST
527,7,400,tsne,0.9594401599542988,MNIST
528,8,400,tsne,0.9594401599542988,MNIST
529,9,400,tsne,0.9637246500999714,MNIST
530,10,400,tsne,0.9634285714285714,MNIST
531,11,400,tsne,0.9634285714285714,MNIST
532,12,400,tsne,0.9605714285714285,MNIST
533,13,400,tsne,0.9522584333905089,MNIST
534,14,400,tsne,0.9599771297884505,MNIST
535,15,400,tsne,0.9639794168096055,MNIST
536,16,400,tsne,0.9754074921361167,MNIST
537,17,400,tsne,0.9490846681922197,MNIST
538,18,400,tsne,0.957653791130186,MNIST
539,19,400,tsne,0.9854077253218884,MNIST
540,0,800,tsne,0.9649072753209701,MNIST
541,1,800,tsne,0.9666095890410958,MNIST
542,2,800,tsne,0.9580479452054794,MNIST
543,3,800,tsne,0.9626034827290894,MNIST
544,4,800,tsne,0.9663049685893775,MNIST
545,5,800,tsne,0.9662953441873751,MNIST
546,6,800,tsne,0.967723507569266,MNIST
547,7,800,tsne,0.9591545272779206,MNIST
548,8,800,tsne,0.958297629248786,MNIST
549,9,800,tsne,0.9628677520708369,MNIST
550,10,800,tsne,0.9628571428571429,MNIST
551,11,800,tsne,0.9631428571428572,MNIST
552,12,800,tsne,0.9594285714285714,MNIST
553,13,800,tsne,0.951114922813036,MNIST
554,14,800,tsne,0.9596912521440824,MNIST
555,15,800,tsne,0.9636935391652373,MNIST
556,16,800,tsne,0.9751215327423506,MNIST
557,17,800,tsne,0.9470823798627003,MNIST
558,18,800,tsne,0.957653791130186,MNIST
559,19,800,tsne,0.9851216022889843,MNIST
560,0,1600,tsne,0.9611982881597717,MNIST
561,1,1600,tsne,0.9631849315068494,MNIST
562,2,1600,tsne,0.9537671232876712,MNIST
563,3,1600,tsne,0.9597487867542107,MNIST
564,4,1600,tsne,0.9611650485436893,MNIST
565,5,1600,tsne,0.9617252213653242,MNIST
566,6,1600,tsne,0.9631533847472151,MNIST
567,7,1600,tsne,0.9568694658668951,MNIST
568,8,1600,tsne,0.9545844044558698,MNIST
569,9,1600,tsne,0.9591545272779206,MNIST
570,10,1600,tsne,0.9597142857142857,MNIST
571,11,1600,tsne,0.9591428571428572,MNIST
572,12,1600,tsne,0.9554285714285714,MNIST
573,13,1600,tsne,0.9485420240137221,MNIST
574,14,1600,tsne,0.9534019439679817,MNIST
575,15,1600,tsne,0.9602630074328188,MNIST
576,16,1600,tsne,0.9725478981984558,MNIST
577,17,1600,tsne,0.9433638443935927,MNIST
578,18,1600,tsne,0.9539341917024321,MNIST
579,19,1600,tsne,0.9822603719599428,MNIST
580,0,3200,tsne,0.9480741797432239,MNIST
581,1,3200,tsne,0.9489155251141552,MNIST
582,2,3200,tsne,0.9394977168949772,MNIST
583,3,3200,tsne,0.9500428204396232,MNIST
584,4,3200,tsne,0.9428897772701313,MNIST
585,5,3200,tsne,0.9474435875464153,MNIST
586,6,3200,tsne,0.9463010568409026,MNIST
587,7,3200,tsne,0.9431590974007427,MNIST
588,8,3200,tsne,0.940588403313339,MNIST
589,9,3200,tsne,0.9440159954298771,MNIST
590,10,3200,tsne,0.9482857142857143,MNIST
591,11,3200,tsne,0.9465714285714286,MNIST
592,12,3200,tsne,0.9431428571428572,MNIST
593,13,3200,tsne,0.9365351629502573,MNIST
594,14,3200,tsne,0.938822184105203,MNIST
595,15,3200,tsne,0.951114922813036,MNIST
596,16,3200,tsne,0.9585358879039176,MNIST
597,17,3200,tsne,0.9327803203661327,MNIST
598,18,3200,tsne,0.942203147353362,MNIST
599,19,3200,tsne,0.9725321888412017,MNIST
600,0,100,umap,0.9697574893009986,MNIST
601,1,100,umap,0.9700342465753424,MNIST
602,2,100,umap,0.9628995433789954,MNIST
